LV,NODE,L1,DATA_TIME,U,IR,IX
1,354019022841,A,2019-04-19 21:45:00,228.4,1.314090957,5.801079614
1,354013332709,A,2019-04-18 02:15:00,231.45,-15.47709859,12.3122705
1,354019022841,A,2019-04-20 11:45:00,227.7,-0.194299239,7.237888934
1,354010389383,A,2019-04-18 01:15:00,232.4714286,-12.15119673,5.857741517
1,354010389386,A,2019-04-20 13:45:00,228.66,0.31386775,1.226179421
1,354019022841,A,2019-04-19 14:00:00,229.6,1.68643566,4.582544448
1,354010389382,A,2019-04-18 11:00:00,227.14,45.95934543,39.46583752
1,354010389382,A,2019-04-18,230.64,35.20718662,27.16632354
1,354013332709,A,2019-04-19 20:15:00,226.7333333,4.419045648,30.10821015
1,354013332709,A,2019-04-19 12:45:00,228.3666667,-8.194009128,11.2383758
1,354019022843,A,2019-04-20 17:15:00,228.8,10.63259565,0.909379827
1,354019022843,A,2019-04-18 08:00:00,229.65,6.70658957,0.114224206
1,354010389382,A,2019-04-18 21:45:00,227.54,20.88771818,31.08368154
1,354010389383,A,2019-04-18 18:00:00,228.8428571,-4.151920194,6.317871421
1,354010389385,A,2019-04-19 11:00:00,228.22,-0.324626494,-2.154770945
1,354010389381,A,2019-04-20 10:00:00,228.9142857,-1.778576211,2.543368282
1,354010389388,A,2019-04-19,229.7,-5.607241052,13.87460243
1,354010389382,A,2019-04-20 13:30:00,228.16,37.66611673,33.23913803
1,354019022843,A,2019-04-19 14:30:00,229.7,17.10225577,3.75174497
1,354010389383,A,2019-04-19 10:45:00,228.7571429,1.332628791,1.712399028
1,354019022843,A,2019-04-20 03:00:00,230.65,11.74725054,1.720581262
1,354019022843,A,2019-04-20 08:00:00,229.6,8.646307628,1.065764153
1,354019022841,A,2019-04-19 21:00:00,227.6,1.642025629,5.424284044
1,354010389382,A,2019-04-20 16:15:00,227.44,79.658876,39.32350437
1,354010389385,A,2019-04-19 18:45:00,228.34,16.46299149,-1.077826976
1,354010389382,A,2019-04-18 11:45:00,226.84,31.84938744,43.00810909
1,354013332709,A,2019-04-20 18:45:00,226.35,15.30087682,-1.836601451
1,354010389388,A,2019-04-20 23:15:00,229.2,-4.36653921,6.725882066
1,354019022839,A,2019-04-18,231.2142857,42.8604778,-2.606185892
1,354010389385,A,2019-04-18 20:30:00,228.8,-1.580388681,4.069261678
1,354019022843,A,2019-04-20 14:30:00,229.6,21.42608232,1.923699679
1,354010389384,A,2019-04-18 02:45:00,231.5,0.036481154,0.380149716
1,354010389382,A,2019-04-18 15:00:00,228.76,60.22742973,30.4867814
1,354010389384,A,2019-04-18 18:30:00,228.8,0.049066475,0.379061088
1,354019022843,A,2019-04-19 21:15:00,228.35,24.57879092,1.002785617
1,354019022842,A,2019-04-20 12:45:00,228.7,0,0
1,354013332709,A,2019-04-20 11:45:00,226.75,45.52899472,10.66081945
1,354019022843,A,2019-04-19 23:30:00,230,22.39945446,4.435329982
1,354019022841,A,2019-04-19 23:00:00,229.9,0.326628261,5.652155288
1,354013332709,A,2019-04-19 23:45:00,230.3166667,0.141213634,-3.814145562
1,354019022842,A,2019-04-20 19:45:00,226.7,0,0
1,354013332709,A,2019-04-18 20:00:00,228.6,13.04922988,3.259317703
1,354019022839,A,2019-04-18 20:30:00,228.0857143,18.5432809,10.77105363
1,354019022843,A,2019-04-19 13:15:00,228.7,21.89217402,1.56674648
1,354010389382,A,2019-04-18 03:30:00,231.04,38.25931432,25.82466738
1,354019022842,A,2019-04-19 03:45:00,231,0,0
1,354019022839,A,2019-04-19 09:30:00,229.7,-1.308227036,-8.512274537
1,354010389385,A,2019-04-20 06:15:00,229.68,38.71464325,16.05927676
1,354019022841,A,2019-04-20 07:30:00,229.5,1.578919886,4.332367039
